"delivery_day","pickup_site_label","sum"
"LA","CULVER CITY: Near Helms Bakery LA","7.635"
"LA","Home Delivery LA","19.54"
"LA","PASADENA: Altadena Beverage and Market LA","21.44"
"LA","SANTA MONICA: Crudo E Nudo LA","3.46"
"LA","SANTA MONICA: Farmshop at Brentwood County Mart LA","5.36"
"LA","SHERMAN OAKS: Near Rec Center LA","0.77"
"LA","SILVERLAKE: Broome St General Store LA","5.77"
"LA","Topa Topa Brewing Co Camarillo","1.54"
"Thursday","Get Hooked Carpinteria","1.92"
"Thursday","Home Delivery Santa Ynez Valley","3.07"
"Thursday","Home Delivery SB","34.855"
"Thursday","Il Fustino/San Roque SB","10.38"
"Thursday","LOS OLIVOS: Figueroa Mountain Brewery Santa Ynez Valley","4.21"
"Thursday","Mesa Produce SB","8.43"
"Thursday","SOLVANG: HCA Park/Elementary School Santa Ynez Valley","6.495"
"Thursday","Upper East/Mission SB","13.76"
"Tuesday","Home Delivery Carpinteria","8.41"
"Tuesday","Home Delivery Montecito","9.955"
"Tuesday","Home Delivery Ojai","0.77"
"Tuesday","Home Delivery Ventura","2.29"
"Tuesday","Main Street Meats Ventura","4.23"
"Tuesday","Olive Mill/101 Montecito","0.77"
"Tuesday","Rincon Brewery Carpinteria","6.92"
"Tuesday","Rincon Brewery Ventura","1.54"
"Tuesday","Topa Topa Brewing Co Ventura","7.3"
"Tuesday","Topa Topa Ojai","3.46"
"Wednesday","Draughtsman Aleworks Goleta","17.64"
"Wednesday","Eastside/Bowl SB","3.85"
"Wednesday","Fairview Gardens Goleta","14.95"
"Wednesday","Home Delivery Goleta","13.06"
"Wednesday","Home Delivery SB",""
"Wednesday","Lane Farms SB","8.43"
"Wednesday","Mosaic Locale/Downtown SB","8.44"
"Wednesday","Tri-County Produce SB","0.77"
"","NA NA","1.52"