"delivery_day","share_size","species","n"
"Thursday","Large","Albacore Burgers","1"
"Thursday","Small","Albacore Burgers","1"
"Tuesday","Small","Albacore Burgers","1"
"Wednesday","Medium","Albacore Burgers","1"
"Wednesday","Small","Albacore Burgers","1"
"Thursday","Medium","Albacore Burgers with Brioche Buns","1"
"Thursday","Small","Albacore Burgers with Brioche Buns","2"
"Tuesday","Small","Albacore Burgers with Brioche Buns","1"
"LA","Small","Albacore Tuna","1"
"Tuesday","Large","Albacore Tuna","1"
"Tuesday","Small","Albacore Tuna","1"
"Thursday","Small","Pink Shrimp Taco Kit","1"
"Tuesday","Large","Pink Shrimp Taco Kit","1"
"Wednesday","Small","Pink Shrimp Taco Kit with Cilantro Lime Salsa","1"
"LA","Medium","Pink Shrimp Taco Kit with Mango Salsa","1"
"Thursday","ExtraLarge","Pink Shrimp Taco Kit with Mango Salsa","1"
"Tuesday","Small","Pink Shrimp Taco Kit with Mango Salsa","1"
"Wednesday","Small","Pink Shrimp Taco Kit with Taquera Salsa","1"
"LA","Large","Rockfish","7"
"LA","Medium","Rockfish","31"
"LA","Small","Rockfish","25"
"Thursday","ExtraLarge","Rockfish","3"
"Thursday","Large","Rockfish","8"
"Thursday","Medium","Rockfish","22"
"Thursday","Small","Rockfish","35"
"Tuesday","ExtraLarge","Rockfish","1"
"Tuesday","Large","Rockfish","2"
"Tuesday","Medium","Rockfish","11"
"Tuesday","Small","Rockfish","26"
"Wednesday","Large","Rockfish","6"
"Wednesday","Medium","Rockfish","22"
"Wednesday","Small","Rockfish","37"
"Thursday","Small","Spot Prawn","2"
"Thursday","Small","Wahoo","2"
"Thursday","Medium","White Seabass Bellies","1"
"Tuesday","Medium","White Seabass Bellies","1"
"Wednesday","Small","White Seabass Bellies","1"